13,13,19,19,19,19,19,13,19,19,19,19,19,19,19,13,13,19,13,19,19,19,19,1,1,1,1,1,1,1,19,33,19,19,19,13,19,19,19,19,19,19,19,13,1,1,1,1,1,1,1,19,19,19,19,19,19,19,19,19,19,19,19,19,1,1,1,1,1,1,1,19,13,13,13,19,32,19,19,19,19,33,13,13,13,13,13,19,19,19,19,19,13,13
20,20,26,26,26,26,26,20,26,26,26,26,26,26,26,20,20,26,20,26,26,26,26,1,1,1,1,1,1,1,26,1,26,26,26,20,26,26,26,26,26,26,26,20,1,1,1,1,1,1,1,26,26,26,26,26,26,26,26,26,26,26,26,26,1,1,1,1,1,1,1,26,20,20,20,26,1,26,26,26,26,1,20,20,20,20,20,26,26,26,26,26,20,20
20,20,1,1,1,1,1,27,1,1,1,1,1,1,1,27,20,1,27,1,1,1,1,1,1,1,1,1,1,1,2,51,1,1,1,20,1,1,1,1,1,1,1,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,20,20,1,51,2,2,2,2,51,20,20,20,20,20,1,1,1,1,1,20,20
20,20,1,1,1,1,25,1,1,1,1,13,13,13,1,1,27,1,1,33,33,1,1,1,1,1,1,1,1,1,2,51,1,1,1,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,1,1,1,1,1,1,1,1,1,20,20,1,51,51,3,3,2,51,20,20,27,20,20,19,25,33,1,1,20,20
20,20,1,33,1,1,1,1,19,1,1,20,20,20,1,1,1,19,1,1,1,29,1,1,1,1,1,1,1,1,51,51,33,1,1,1,1,1,1,1,1,33,1,1,1,1,1,1,1,1,1,33,33,1,1,1,33,1,33,1,1,1,33,1,1,1,1,1,1,1,1,19,19,20,20,1,1,51,51,51,51,51,27,27,1,20,27,26,1,1,1,1,20,20
20,20,33,1,1,13,1,33,26,1,1,27,27,27,1,1,1,26,33,1,1,1,1,1,1,1,1,1,1,1,1,33,1,33,34,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,33,1,1,33,1,1,1,1,1,1,1,1,1,1,1,1,1,26,26,27,27,1,1,1,1,1,1,1,1,1,1,20,1,1,1,19,1,1,20,20
20,20,1,1,1,20,1,1,1,1,33,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,33,27,1,1,1,26,1,1,20,20
20,20,1,1,33,27,1,33,33,33,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,33,1,1,1,1,1,1,1,1,20,20
20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1,1,20,20
20,20,1,33,1,1,1,1,1,13,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,13,1,1,1,33,1,26,1,1,20,20
20,20,1,1,1,1,13,13,13,20,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,20,13,13,1,1,1,1,29,1,20,20
20,20,1,1,13,13,20,20,20,20,13,33,1,1,1,1,1,1,33,1,33,1,1,1,1,1,1,1,1,1,1,33,33,1,1,19,13,13,1,1,13,1,1,1,1,1,1,1,1,1,1,13,13,13,1,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,33,1,1,33,33,1,13,13,13,13,13,13,20,20,20,19,1,33,1,1,1,20,20
20,20,1,1,20,20,20,20,20,20,20,1,13,13,1,19,1,33,1,1,1,33,1,1,1,1,1,1,1,1,1,1,1,1,1,26,20,20,13,13,20,1,1,1,1,1,1,1,1,1,1,20,20,20,13,1,1,1,1,1,1,1,20,13,1,1,1,1,1,1,1,1,1,1,1,1,19,20,20,20,20,20,20,20,20,20,26,1,1,1,1,1,20,20
20,20,1,13,20,20,20,20,20,20,20,19,20,20,19,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,1,20,20,20,20,20,1,1,1,1,1,1,1,1,1,1,27,27,20,20,1,1,1,1,1,1,13,20,20,1,1,1,1,1,1,1,1,1,1,1,1,26,27,27,20,20,20,20,27,27,20,1,1,33,29,1,1,20,20
20,20,33,20,20,20,20,20,20,27,27,26,20,20,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,19,27,20,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1,27,20,33,13,1,1,1,33,20,20,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,27,27,27,1,1,27,1,1,1,1,1,1,20,20
20,20,1,20,20,20,20,27,20,1,1,1,20,27,1,33,1,1,1,1,1,33,1,1,1,1,1,1,1,1,1,1,33,1,1,26,1,20,20,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,27,1,20,13,1,1,1,20,20,1,1,1,1,1,1,1,1,1,1,51,51,51,51,1,1,27,1,1,1,1,1,1,1,1,1,1,33,33,20,20
20,20,1,20,27,27,27,1,20,1,1,1,27,1,1,1,1,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,27,20,20,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,20,20,13,33,13,20,20,33,1,1,1,1,1,1,1,1,1,51,3,3,51,51,1,1,1,1,1,1,1,1,1,1,1,35,1,1,20,20
20,20,1,27,1,1,1,13,20,13,13,1,1,33,1,33,1,1,1,1,33,19,19,1,1,1,1,1,1,1,33,1,1,1,33,1,1,1,27,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,27,20,20,1,20,20,20,1,1,1,1,1,1,1,1,1,1,51,3,3,2,51,1,1,1,1,1,1,1,1,1,1,1,1,1,33,20,20
